Protein 1,Protein 2,LIS,LIA,ipTM,pTM,AFM Confidence,pLDDT,MSA_depth_peptidase,MSA_depth_inhibitors,Inhibitor_length,Binary_Label,ipTM threshold,Agree?,FP?,FN?
KALLIKREIN_4,trypsin_inhibitor_1_kallikrein,0.7554,5839.2,0.9464,0.9572,0.9486,97.8466,144330,59,14,1,1,Yes,No,No
METALLOPROTEINASE,trypsin_inhibitor_1_kallikrein,0.3706,3486.4,0.6158,0.9302,0.6786,93.8616,27054,59,14,0,0,Yes,No,No
METALLOPROTEINASE,upain_1_w3a,0.1986,2423.4,0.4732,0.9248,0.5638,92.5902,27054,21,12,0,0,Yes,No,No
MIROLYSIN,mupain_1_17,0.2772,2826,0.6008,0.9436,0.6694,94.8126,21859,5,10,0,0,Yes,No,No
MIROLYSIN,putative_lipoprotein,0.2162,2991.4,0.4714,0.933,0.5636,93.1284,21859,4,14,1,0,No,No,Yes
NS3_4A_PROTEASE,product_trif,0.2764,2498,0.5222,0.8912,0.5962,90.9394,21034,2,13,1,0,No,No,Yes
NS3_PROTEASE,ns4a_peptide,0.7676,4814,0.9446,0.926,0.941,95.8946,20412,10,14,1,1,Yes,No,No
PLASMA_KALLIKREIN_LIGHT_CHAIN,plasma_kallikrein_light_chain_inhibitor,0.6166,4616.4,0.9194,0.9474,0.925,95.6842,161059,8,10,1,1,Yes,No,No
PLASMA_KALLIKREIN_LIGHT_CHAIN,synaptotagmin_2,0.2208,4047.8,0.4936,0.9082,0.5764,90.403,161059,52,21,0,0,Yes,No,No
PROTEINASE_K,lactoferrin,0.3576,3392.2,0.6728,0.9574,0.7294,96.3486,79377,1,10,1,1,Yes,No,No
RENIN,aspartic_peptidase_inhibitor_1,0.1806,3198.2,0.5346,0.9114,0.6104,89.2904,51256,11,11,1,0,No,No,Yes
RENIN,aspartic_peptidase_inhibitor_2,0.2106,3180.6,0.576,0.9132,0.6434,89.5446,51256,7,10,1,0,No,No,Yes
RENIN,aspartic_peptidase_inhibitor_3,0.1882,3064.2,0.5298,0.9102,0.6058,89.0172,51256,13,11,1,0,No,No,Yes
RENIN,bradykinin_potentiating_peptide_b,0.1658,2461.4,0.4754,0.9094,0.5624,89.1346,51256,2,11,0,0,Yes,No,No
RENIN,hirugen,0.0862,1688.2,0.42,0.9034,0.5166,88.5574,51256,25,11,0,0,Yes,No,No
RHOMBOID_PROTEASE_GIPG,amyloid_beta_a4_protein,0.252,1803,0.522,0.8242,0.5826,84.2038,21885,6,10,0,0,Yes,No,No
RHOMBOID_PROTEASE_GIPG,peptide_boronate_inhibitor,0.2606,1730,0.5062,0.8248,0.5698,84.6588,21885,1,10,1,0,No,No,Yes
SERINE_PROTEASE_NS3,cp5_46_a_peptide,0.6642,6703,0.8492,0.9152,0.8622,93.5252,20917,12,21,1,1,Yes,No,No
ST14_PROTEIN,pvi,0.3276,3247.2,0.6518,0.9446,0.7106,95.8454,154071,10,11,0,0,Yes,No,No
ST14_PROTEIN,trypsin_inhibitor_1,0.7478,6707.2,0.9544,0.9618,0.9556,98.3884,154071,67,14,1,1,Yes,No,No
SUBTILISIN_LIKE_PROTEASE,bradykinin_potentiating_peptide_b,0.1816,3167.8,0.5228,0.9036,0.5988,89.6002,17610,2,11,0,0,Yes,No,No
SUBTILISIN_LIKE_PROTEASE,substrate_analogue,0.2756,3903,0.6216,0.9056,0.6784,89.7264,17610,9,12,1,0,No,No,Yes
THERMOLYSIN,pvi,0.2942,3599.4,0.6294,0.9534,0.6944,96.3362,29160,10,11,0,0,Yes,No,No
THROMBIN,aspartic_peptidase_inhibitor_1,0.2244,2659.4,0.5588,0.9068,0.6282,87.5856,147077,11,11,0,0,Yes,No,No
THROMBIN,decapeptide_inhibitor,0.6472,5168.4,0.9434,0.9256,0.94,91.4428,147077,20,10,1,1,Yes,No,No
TRYPSIN,pep4,0.3284,2660.8,0.6242,0.941,0.6874,95.4118,153562,5,10,0,0,Yes,No,No
TRYPSIN,trypsin_inhibitor_1,0.7906,6223.2,0.9634,0.9594,0.9624,98.3712,153562,67,14,1,1,Yes,No,No
TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,two_chain_tissue_plasminogen_activator_inhibitor,0.559,5640.2,0.8184,0.9388,0.8426,94.5302,143607,10,17,1,1,Yes,No,No
UBIQUITIN_CARBOXYL_TERMINAL_HYDROLASE_7,beta_acrosin_light_chain,0.412,2870,0.6116,0.8634,0.6618,88.528,9582,104,22,0,0,Yes,No,No
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,bicyclic_peptide_inhibitor,0.4714,6112.2,0.7336,0.9296,0.7728,93.496,142884,18,17,1,1,Yes,No,No
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,mupain_1_17,0.3128,3383,0.654,0.9298,0.7092,93.6902,142884,5,10,1,0,No,No,Yes
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,pep6,0.217,2373.6,0.509,0.925,0.5924,92.558,142884,5,10,0,0,Yes,No,No
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,upain_1_w3a,0.7298,5924.2,0.9532,0.944,0.9516,96.199,142884,21,12,1,1,Yes,No,No
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,16,1,15
