,Protein 1,Protein 2,LIS,LIA,ipTM,pTM,AFM Confidence,pLDDT,PDB file path,PKL file path,MSA_depth_peptidase,MSA_depth_inhibitors,Binary_Label
CP_2_and_amoebiasin_2_5,CP_2,amoebiasin_2,0.691,47135,0.919,0.936,0.922,97.62,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,49434,2999,1
PAPAIN_and_falstatin_1,PAPAIN,falstatin,0.641,61937,0.938,0.676,0.885,72.58,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,47245,1761,1
PAPAIN_and_falstatin_2,PAPAIN,falstatin,0.651,62075,0.942,0.678,0.889,72.546,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,47245,1761,1
PAPAIN_and_falstatin_3,PAPAIN,falstatin,0.656,61076,0.94,0.673,0.886,71.513,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,47245,1761,1
PAPAIN_and_falstatin_4,PAPAIN,falstatin,0.655,62082,0.94,0.677,0.887,72.867,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,47245,1761,1
PAPAIN_and_falstatin_5,PAPAIN,falstatin,0.647,62212,0.94,0.676,0.888,72.635,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,47245,1761,1
PAPAIN_and_serralysin_inh_1,PAPAIN,serralysin_inh,0.011,15,0.199,0.716,0.302,81.416,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,47245,1402,0
PAPAIN_and_serralysin_inh_2,PAPAIN,serralysin_inh,0.16,9438,0.435,0.79,0.506,86.9,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,47245,1402,0
PAPAIN_and_serralysin_inh_3,PAPAIN,serralysin_inh,0.057,702,0.175,0.709,0.282,86.482,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,47245,1402,0
PAPAIN_and_serralysin_inh_4,PAPAIN,serralysin_inh,0,0,0.169,0.707,0.277,82.871,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,47245,1402,0
PAPAIN_and_serralysin_inh_5,PAPAIN,serralysin_inh,0.039,873,0.24,0.727,0.338,84.772,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,47245,1402,0
TRYPSIN_and_trypsin_inhibitor_2_1,TRYPSIN,trypsin_inhibitor_2,0.784,13258,0.95,0.962,0.953,98.485,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,116213,210,1
TRYPSIN_and_trypsin_inhibitor_2_2,TRYPSIN,trypsin_inhibitor_2,0.774,13240,0.948,0.961,0.951,98.376,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,116213,210,1
TRYPSIN_and_trypsin_inhibitor_2_3,TRYPSIN,trypsin_inhibitor_2,0.783,13252,0.95,0.962,0.952,98.431,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,116213,210,1
TRYPSIN_and_trypsin_inhibitor_2_4,TRYPSIN,trypsin_inhibitor_2,0.78,13298,0.946,0.961,0.949,98.425,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,116213,210,1
TRYPSIN_and_trypsin_inhibitor_2_5,TRYPSIN,trypsin_inhibitor_2,0.775,13246,0.944,0.961,0.948,98.417,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,116213,210,1
TRYPSIN_and_amoebiasin_2_1,TRYPSIN,amoebiasin_2,0.111,4069,0.245,0.73,0.342,87.683,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,116213,2999,0
TRYPSIN_and_amoebiasin_2_2,TRYPSIN,amoebiasin_2,0.156,5784,0.272,0.739,0.365,88.876,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,116213,2999,0
TRYPSIN_and_amoebiasin_2_3,TRYPSIN,amoebiasin_2,0.16,5395,0.28,0.74,0.372,88.64,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,116213,2999,0
TRYPSIN_and_amoebiasin_2_4,TRYPSIN,amoebiasin_2,0.129,4837,0.27,0.737,0.364,88.75,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,116213,2999,0
TRYPSIN_and_amoebiasin_2_5,TRYPSIN,amoebiasin_2,0.109,4064,0.243,0.728,0.34,88.215,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,116213,2999,0
TRYPSIN_and_calpastatin_1,TRYPSIN,calpastatin,0.132,5159,0.473,0.364,0.451,38.111,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,116213,4550,0
TRYPSIN_and_calpastatin_2,TRYPSIN,calpastatin,0.149,5681,0.45,0.373,0.434,38.464,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,116213,4550,0
TRYPSIN_and_calpastatin_3,TRYPSIN,calpastatin,0.189,2939,0.491,0.344,0.462,37.328,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,116213,4550,0
TRYPSIN_and_calpastatin_4,TRYPSIN,calpastatin,0.149,5608,0.435,0.361,0.42,38.414,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,116213,4550,0
TRYPSIN_and_calpastatin_5,TRYPSIN,calpastatin,0.107,3062,0.431,0.35,0.415,37.675,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,116213,4550,0
CATHEPSIN_H_and_cystatin_A_1,CATHEPSIN_H,cystatin_A,0.705,41329,0.923,0.951,0.928,97.222,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,51411,4998,1
CATHEPSIN_H_and_cystatin_A_2,CATHEPSIN_H,cystatin_A,0.704,41262,0.924,0.951,0.93,97.245,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,51411,4998,1
CATHEPSIN_H_and_cystatin_A_3,CATHEPSIN_H,cystatin_A,0.704,41320,0.926,0.951,0.931,97.223,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,51411,4998,1
CATHEPSIN_H_and_cystatin_A_4,CATHEPSIN_H,cystatin_A,0.699,41383,0.917,0.95,0.924,97.125,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,51411,4998,1
CATHEPSIN_H_and_cystatin_A_5,CATHEPSIN_H,cystatin_A,0.702,41502,0.927,0.952,0.932,97.236,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,51411,4998,1
ALKALINE_PROTEASE_1_and_afuei_1,ALKALINE_PROTEASE_1,afuei,0.706,38048,0.928,0.922,0.927,94.512,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,55834,1475,1
ALKALINE_PROTEASE_1_and_afuei_2,ALKALINE_PROTEASE_1,afuei,0.717,38062,0.927,0.92,0.926,94.537,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,55834,1475,1
ALKALINE_PROTEASE_1_and_afuei_3,ALKALINE_PROTEASE_1,afuei,0.724,38108,0.926,0.92,0.925,94.358,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,55834,1475,1
ALKALINE_PROTEASE_1_and_afuei_4,ALKALINE_PROTEASE_1,afuei,0.716,38097,0.925,0.92,0.924,94.376,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,55834,1475,1
ALKALINE_PROTEASE_1_and_afuei_5,ALKALINE_PROTEASE_1,afuei,0.712,38114,0.922,0.919,0.922,94.272,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,55834,1475,1
KEXIN_and_kininogen_inhibitor_unit_2_1,KEXIN,kininogen_inhibitor_unit_2,0,0,0.244,0.523,0.3,65.421,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,33063,6535,0
KEXIN_and_kininogen_inhibitor_unit_2_2,KEXIN,kininogen_inhibitor_unit_2,0.151,4421,0.562,0.545,0.559,69.92,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,33063,6535,0
KEXIN_and_kininogen_inhibitor_unit_2_3,KEXIN,kininogen_inhibitor_unit_2,0,0,0.215,0.512,0.274,67.016,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,33063,6535,0
KEXIN_and_kininogen_inhibitor_unit_2_4,KEXIN,kininogen_inhibitor_unit_2,0.048,699,0.46,0.516,0.471,63.831,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,33063,6535,0
KEXIN_and_kininogen_inhibitor_unit_2_5,KEXIN,kininogen_inhibitor_unit_2,0,0,0.206,0.514,0.268,66.748,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,33063,6535,0
PEPSIN_and_amoebiasin_2_1,PEPSIN,amoebiasin_2,0.013,1,0.208,0.756,0.318,84.131,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,41957,2999,0
PEPSIN_and_amoebiasin_2_2,PEPSIN,amoebiasin_2,0.037,1284,0.282,0.772,0.38,84.783,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,41957,2999,0
PEPSIN_and_amoebiasin_2_3,PEPSIN,amoebiasin_2,0,0,0.174,0.751,0.29,86.387,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,41957,2999,0
PEPSIN_and_amoebiasin_2_4,PEPSIN,amoebiasin_2,0,0,0.167,0.751,0.283,86.206,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,41957,2999,0
PEPSIN_and_amoebiasin_2_5,PEPSIN,amoebiasin_2,0,0,0.221,0.761,0.329,85.922,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,41957,2999,0
CP_1_and_potato_cathepsin_d_inhibitor_1,CP_1,potato_cathepsin_d_inhibitor,0.009,4,0.183,0.599,0.266,87.794,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,49718,3241,0
CP_1_and_potato_cathepsin_d_inhibitor_2,CP_1,potato_cathepsin_d_inhibitor,0.144,1669,0.212,0.61,0.292,88.718,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,49718,3241,0
CP_1_and_potato_cathepsin_d_inhibitor_3,CP_1,potato_cathepsin_d_inhibitor,0,0,0.165,0.592,0.25,87.626,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,49718,3241,0
CP_1_and_potato_cathepsin_d_inhibitor_4,CP_1,potato_cathepsin_d_inhibitor,0.016,76,0.179,0.595,0.262,87.434,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,49718,3241,0
CP_1_and_potato_cathepsin_d_inhibitor_5,CP_1,potato_cathepsin_d_inhibitor,0,0,0.153,0.587,0.24,87.282,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,49718,3241,0
PAPAIN_and_chagasin_1,PAPAIN,chagasin,0.71,45473,0.92,0.948,0.926,97.542,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,47245,3705,1
PAPAIN_and_chagasin_2,PAPAIN,chagasin,0.713,45060,0.921,0.948,0.927,97.258,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,47245,3705,1
PAPAIN_and_chagasin_3,PAPAIN,chagasin,0.715,45557,0.927,0.949,0.931,97.695,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,47245,3705,1
PAPAIN_and_chagasin_4,PAPAIN,chagasin,0.711,45523,0.92,0.946,0.925,97.623,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,47245,3705,1
PAPAIN_and_chagasin_5,PAPAIN,chagasin,0.715,45574,0.921,0.948,0.926,97.688,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,47245,3705,1
TRYPSIN_and_smpi_1,TRYPSIN,smpi,0.144,2941,0.235,0.732,0.334,89.65,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,116213,1062,0
TRYPSIN_and_smpi_2,TRYPSIN,smpi,0.377,42885,0.697,0.876,0.733,95.136,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,116213,1062,0
TRYPSIN_and_smpi_3,TRYPSIN,smpi,0.164,6759,0.323,0.761,0.411,87.807,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,116213,1062,0
TRYPSIN_and_smpi_4,TRYPSIN,smpi,0.125,2675,0.239,0.729,0.337,91.1,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,116213,1062,0
TRYPSIN_and_smpi_5,TRYPSIN,smpi,0.11,2273,0.213,0.727,0.316,88.678,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,116213,1062,0
PAPAIN_and_taicotoxin_1,PAPAIN,taicotoxin,0.087,3873,0.26,0.798,0.367,89.29,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,47245,30799,0
PAPAIN_and_taicotoxin_2,PAPAIN,taicotoxin,0.189,7359,0.386,0.823,0.473,91.524,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,47245,30799,0
PAPAIN_and_taicotoxin_3,PAPAIN,taicotoxin,0.125,4214,0.286,0.804,0.39,90.962,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,47245,30799,0
PAPAIN_and_taicotoxin_4,PAPAIN,taicotoxin,0.096,4457,0.273,0.8,0.378,87.81,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,47245,30799,0
PAPAIN_and_taicotoxin_5,PAPAIN,taicotoxin,0.09,3131,0.235,0.792,0.346,87.741,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,47245,30799,0
CP_1_and_amoebiasin_2_1,CP_1,amoebiasin_2,0.686,47013,0.924,0.937,0.927,97.426,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,49718,2999,1
CP_1_and_amoebiasin_2_2,CP_1,amoebiasin_2,0.692,47082,0.921,0.936,0.924,97.587,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,49718,2999,1
CP_1_and_amoebiasin_2_3,CP_1,amoebiasin_2,0.69,47140,0.916,0.935,0.92,97.51,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,49718,2999,1
CP_1_and_amoebiasin_2_4,CP_1,amoebiasin_2,0.694,47002,0.916,0.934,0.92,97.445,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,49718,2999,1
CP_1_and_amoebiasin_2_5,CP_1,amoebiasin_2,0.692,47071,0.919,0.936,0.922,97.493,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,49718,2999,1
ELASTASE_and_cmpi-ii_1,ELASTASE,cmpi-ii,0.654,20751,0.867,0.896,0.873,91.423,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,92687,14284,1
ELASTASE_and_cmpi-ii_2,ELASTASE,cmpi-ii,0.69,20833,0.881,0.899,0.885,91.832,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,92687,14284,1
ELASTASE_and_cmpi-ii_3,ELASTASE,cmpi-ii,0.662,20736,0.868,0.896,0.874,91.303,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,92687,14284,1
ELASTASE_and_cmpi-ii_4,ELASTASE,cmpi-ii,0.631,20676,0.853,0.893,0.861,90.787,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,92687,14284,1
ELASTASE_and_cmpi-ii_5,ELASTASE,cmpi-ii,0.634,20649,0.852,0.894,0.86,90.723,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,92687,14284,1
TRYPSIN_and_ovomucoid_inhibitor_unit_3_1,TRYPSIN,ovomucoid_inhibitor_unit_3,0.463,31075,0.869,0.75,0.845,85.653,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,116213,17835,1
TRYPSIN_and_ovomucoid_inhibitor_unit_3_2,TRYPSIN,ovomucoid_inhibitor_unit_3,0.306,28534,0.757,0.733,0.752,87.448,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,116213,17835,1
TRYPSIN_and_ovomucoid_inhibitor_unit_3_3,TRYPSIN,ovomucoid_inhibitor_unit_3,0.514,23954,0.84,0.716,0.815,83.985,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,116213,17835,1
TRYPSIN_and_ovomucoid_inhibitor_unit_3_4,TRYPSIN,ovomucoid_inhibitor_unit_3,0.421,23317,0.784,0.697,0.767,83.303,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,116213,17835,1
TRYPSIN_and_ovomucoid_inhibitor_unit_3_5,TRYPSIN,ovomucoid_inhibitor_unit_3,0.623,30147,0.932,0.75,0.895,85.595,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,116213,17835,1
TRYPSIN_II_ANIONIC_and_ecotin_1,TRYPSIN_II_ANIONIC,ecotin,0.623,61064,0.933,0.925,0.931,97.028,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,117039,4559,1
TRYPSIN_II_ANIONIC_and_ecotin_2,TRYPSIN_II_ANIONIC,ecotin,0.612,61219,0.934,0.922,0.931,96.962,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,117039,4559,1
TRYPSIN_II_ANIONIC_and_ecotin_3,TRYPSIN_II_ANIONIC,ecotin,0.61,61229,0.927,0.923,0.926,96.923,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,117039,4559,1
TRYPSIN_II_ANIONIC_and_ecotin_4,TRYPSIN_II_ANIONIC,ecotin,0.61,60898,0.929,0.923,0.928,96.744,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,117039,4559,1
TRYPSIN_II_ANIONIC_and_ecotin_5,TRYPSIN_II_ANIONIC,ecotin,0.603,60960,0.927,0.922,0.926,96.847,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,117039,4559,1
KALICREIN_and_amoebiasin_2_1,KALICREIN,amoebiasin_2,0.11,5994,0.416,0.745,0.482,87.169,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,105380,2999,0
KALICREIN_and_amoebiasin_2_2,KALICREIN,amoebiasin_2,0.106,4323,0.279,0.734,0.37,86.511,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,105380,2999,0
KALICREIN_and_amoebiasin_2_3,KALICREIN,amoebiasin_2,0.107,2976,0.253,0.724,0.347,86.814,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,105380,2999,0
KALICREIN_and_amoebiasin_2_4,KALICREIN,amoebiasin_2,0.033,544,0.226,0.719,0.325,85.597,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,105380,2999,0
KALICREIN_and_amoebiasin_2_5,KALICREIN,amoebiasin_2,0.074,3311,0.259,0.729,0.353,85.188,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,105380,2999,0
THROMBIN_and_rhodniin_1,THROMBIN,rhodniin,0.64,49324,0.905,0.934,0.911,94.14,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,107783,16117,1
THROMBIN_and_rhodniin_2,THROMBIN,rhodniin,0.673,49880,0.908,0.94,0.914,94.916,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,107783,16117,1
THROMBIN_and_rhodniin_3,THROMBIN,rhodniin,0.683,49920,0.909,0.943,0.916,95.041,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,107783,16117,1
THROMBIN_and_rhodniin_4,THROMBIN,rhodniin,0.678,49843,0.905,0.941,0.912,94.801,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,107783,16117,1
THROMBIN_and_rhodniin_5,THROMBIN,rhodniin,0.676,49685,0.913,0.942,0.919,94.733,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,107783,16117,1
CALPAIN_and_tci1_1,CALPAIN,tci1,0,0,0.295,0.787,0.393,81.232,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,44449,270,0
CALPAIN_and_tci1_2,CALPAIN,tci1,0,0,0.238,0.747,0.34,79.169,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,44449,270,0
CALPAIN_and_tci1_3,CALPAIN,tci1,0,0,0.27,0.781,0.372,81.316,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,44449,270,0
CALPAIN_and_tci1_4,CALPAIN,tci1,0,0,0.28,0.741,0.372,78.617,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,44449,270,0
CALPAIN_and_tci1_5,CALPAIN,tci1,0,0,0.294,0.766,0.389,79.493,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,44449,270,0
SERRALYSIN_and_serralysin_inh_1,SERRALYSIN,serralysin_inh,0.493,77584,0.889,0.954,0.902,94.536,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,78890,1402,1
SERRALYSIN_and_serralysin_inh_2,SERRALYSIN,serralysin_inh,0.48,74574,0.88,0.951,0.894,94.317,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,78890,1402,1
