,Protein 1,Protein 2,LIS,LIA,ipTM,pTM,AFM Confidence,pLDDT,PDB file path,PKL file path,MSA_depth_peptidase,MSA_depth_inhibitors,Binary_Label
ELASTASE_and_3c_like_proteinase_inhibitor_5,ELASTASE,3c_like_proteinase_inhibitor,0.385,1349,0.723,0.955,0.77,97.223,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,148820,1,0
3C_LIKE_PROTEINASE_and_pep6_1,3C_LIKE_PROTEINASE,pep6,0.198,2855,0.545,0.918,0.62,93.495,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,2065,5,1
3C_LIKE_PROTEINASE_and_pep6_2,3C_LIKE_PROTEINASE,pep6,0.19,2595,0.536,0.905,0.61,93.211,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,2065,5,1
3C_LIKE_PROTEINASE_and_pep6_3,3C_LIKE_PROTEINASE,pep6,0.193,2483,0.533,0.891,0.605,92.479,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,2065,5,1
3C_LIKE_PROTEINASE_and_pep6_4,3C_LIKE_PROTEINASE,pep6,0.209,2947,0.572,0.916,0.641,93.498,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,2065,5,1
3C_LIKE_PROTEINASE_and_pep6_5,3C_LIKE_PROTEINASE,pep6,0.212,2607,0.556,0.905,0.625,92.884,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,2065,5,1
BONT_A_and_jth_nb72_39_inhibitior_1,BONT_A,jth_nb72_39_inhibitior,0.225,3339,0.643,0.958,0.706,95.065,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,2567,3,1
BONT_A_and_jth_nb72_39_inhibitior_2,BONT_A,jth_nb72_39_inhibitior,0.217,3332,0.624,0.957,0.691,95.279,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,2567,3,1
BONT_A_and_jth_nb72_39_inhibitior_3,BONT_A,jth_nb72_39_inhibitior,0.212,3246,0.613,0.956,0.682,95.12,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,2567,3,1
BONT_A_and_jth_nb72_39_inhibitior_4,BONT_A,jth_nb72_39_inhibitior,0.173,2979,0.56,0.958,0.64,95.057,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,2567,3,1
BONT_A_and_jth_nb72_39_inhibitior_5,BONT_A,jth_nb72_39_inhibitior,0.212,3333,0.618,0.959,0.686,95.251,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,2567,3,1
SUBTILISIN_LIKE_PROTEASE_and_bradykinin_potentiating_peptide_b_1,SUBTILISIN_LIKE_PROTEASE,bradykinin_potentiating_peptide_b,0.164,2857,0.502,0.902,0.582,89.784,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,17610,2,0
SUBTILISIN_LIKE_PROTEASE_and_bradykinin_potentiating_peptide_b_2,SUBTILISIN_LIKE_PROTEASE,bradykinin_potentiating_peptide_b,0.195,3078,0.521,0.902,0.597,89.684,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,17610,2,0
SUBTILISIN_LIKE_PROTEASE_and_bradykinin_potentiating_peptide_b_3,SUBTILISIN_LIKE_PROTEASE,bradykinin_potentiating_peptide_b,0.192,3345,0.529,0.905,0.604,89.914,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,17610,2,0
SUBTILISIN_LIKE_PROTEASE_and_bradykinin_potentiating_peptide_b_4,SUBTILISIN_LIKE_PROTEASE,bradykinin_potentiating_peptide_b,0.172,3043,0.517,0.903,0.594,89.186,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,17610,2,0
SUBTILISIN_LIKE_PROTEASE_and_bradykinin_potentiating_peptide_b_5,SUBTILISIN_LIKE_PROTEASE,bradykinin_potentiating_peptide_b,0.185,3516,0.545,0.906,0.617,89.433,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,17610,2,0
ENDOTHIAPEPSIN_and_h77_1,ENDOTHIAPEPSIN,h77,0.253,2715,0.597,0.942,0.666,95.346,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,41523,8,1
ENDOTHIAPEPSIN_and_h77_2,ENDOTHIAPEPSIN,h77,0.251,2715,0.595,0.939,0.663,95.444,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,41523,8,1
ENDOTHIAPEPSIN_and_h77_3,ENDOTHIAPEPSIN,h77,0.23,2572,0.558,0.94,0.634,95.496,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,41523,8,1
ENDOTHIAPEPSIN_and_h77_4,ENDOTHIAPEPSIN,h77,0.261,2713,0.598,0.942,0.667,95.434,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,41523,8,1
ENDOTHIAPEPSIN_and_h77_5,ENDOTHIAPEPSIN,h77,0.398,3761,0.808,0.947,0.836,96.978,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,41523,8,1
SHEWANELLA_ONEIDENSIS_PEPTIDASE_and_shewanella_odeidensis_peptidase_inhibitor_1,SHEWANELLA_ONEIDENSIS_PEPTIDASE,shewanella_odeidensis_peptidase_inhibitor,0.339,1330,0.557,0.814,0.609,87.539,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,615,4,1
SHEWANELLA_ONEIDENSIS_PEPTIDASE_and_shewanella_odeidensis_peptidase_inhibitor_2,SHEWANELLA_ONEIDENSIS_PEPTIDASE,shewanella_odeidensis_peptidase_inhibitor,0.456,1683,0.679,0.824,0.708,88.967,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,615,4,1
SHEWANELLA_ONEIDENSIS_PEPTIDASE_and_shewanella_odeidensis_peptidase_inhibitor_3,SHEWANELLA_ONEIDENSIS_PEPTIDASE,shewanella_odeidensis_peptidase_inhibitor,0.557,1785,0.779,0.842,0.791,91.188,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,615,4,1
SHEWANELLA_ONEIDENSIS_PEPTIDASE_and_shewanella_odeidensis_peptidase_inhibitor_4,SHEWANELLA_ONEIDENSIS_PEPTIDASE,shewanella_odeidensis_peptidase_inhibitor,0.69,1824,0.866,0.858,0.865,92.989,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,615,4,1
SHEWANELLA_ONEIDENSIS_PEPTIDASE_and_shewanella_odeidensis_peptidase_inhibitor_5,SHEWANELLA_ONEIDENSIS_PEPTIDASE,shewanella_odeidensis_peptidase_inhibitor,0.675,1841,0.875,0.859,0.872,92.864,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,615,4,1
PLASMEPSIN_2_and_ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor_1,PLASMEPSIN_2,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.202,2326,0.56,0.905,0.629,89.684,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,45489,2,0
PLASMEPSIN_2_and_ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor_2,PLASMEPSIN_2,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.205,2448,0.573,0.906,0.639,90.094,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,45489,2,0
PLASMEPSIN_2_and_ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor_3,PLASMEPSIN_2,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.213,2338,0.554,0.903,0.623,89.697,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,45489,2,0
PLASMEPSIN_2_and_ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor_4,PLASMEPSIN_2,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.216,2396,0.576,0.901,0.641,89.407,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,45489,2,0
PLASMEPSIN_2_and_ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor_5,PLASMEPSIN_2,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.216,2367,0.567,0.901,0.634,88.829,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,45489,2,0
GAG_PRO_POL_POLYPROTEIN_and_gag_pro_pol_polyprotein_inhibitor_1,GAG_PRO_POL_POLYPROTEIN,gag_pro_pol_polyprotein_inhibitor,0.14,532,0.273,0.76,0.371,79.672,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,3259,3,1
GAG_PRO_POL_POLYPROTEIN_and_gag_pro_pol_polyprotein_inhibitor_2,GAG_PRO_POL_POLYPROTEIN,gag_pro_pol_polyprotein_inhibitor,0.109,463,0.251,0.765,0.354,80.262,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,3259,3,1
GAG_PRO_POL_POLYPROTEIN_and_gag_pro_pol_polyprotein_inhibitor_3,GAG_PRO_POL_POLYPROTEIN,gag_pro_pol_polyprotein_inhibitor,0.195,581,0.36,0.766,0.441,80.531,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,3259,3,1
GAG_PRO_POL_POLYPROTEIN_and_gag_pro_pol_polyprotein_inhibitor_4,GAG_PRO_POL_POLYPROTEIN,gag_pro_pol_polyprotein_inhibitor,0.439,1038,0.649,0.785,0.676,83.705,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,3259,3,1
GAG_PRO_POL_POLYPROTEIN_and_gag_pro_pol_polyprotein_inhibitor_5,GAG_PRO_POL_POLYPROTEIN,gag_pro_pol_polyprotein_inhibitor,0.062,338,0.217,0.735,0.32,76.614,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,3259,3,1
ANGIOTENSIN_CONVERTING_ENZYME_2_and_upain_1_w3a_1,ANGIOTENSIN_CONVERTING_ENZYME_2,upain_1_w3a,0.17,6993,0.617,0.876,0.669,91.362,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,23084,21,0
ANGIOTENSIN_CONVERTING_ENZYME_2_and_upain_1_w3a_2,ANGIOTENSIN_CONVERTING_ENZYME_2,upain_1_w3a,0.201,7082,0.655,0.875,0.699,91.853,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,23084,21,0
ANGIOTENSIN_CONVERTING_ENZYME_2_and_upain_1_w3a_3,ANGIOTENSIN_CONVERTING_ENZYME_2,upain_1_w3a,0.201,7150,0.653,0.914,0.705,93.344,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,23084,21,0
ANGIOTENSIN_CONVERTING_ENZYME_2_and_upain_1_w3a_4,ANGIOTENSIN_CONVERTING_ENZYME_2,upain_1_w3a,0.171,7051,0.625,0.915,0.683,93.142,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,23084,21,0
