Protein 1,Protein 2,LIS,LIA,ipTM,pTM,AFM Confidence,pLDDT,MSA_depth_peptidase,MSA_depth_inhibitors,Inhibitor_length,Binary_Label
ENDOTHIAPEPSIN,h_256,0.223,2359.4,0.5664,0.9418,0.6414,95.7116,41523.0,1.0,7.0,1.0
ENDOTHIAPEPSIN,pep2,0.22480000000000003,2460.0,0.554,0.9401999999999999,0.6312,95.3914,41523.0,1.0,8.0,0.0
ENDOTHIAPEPSIN,ps1,0.3234,2343.0,0.6866,0.9448000000000001,0.7382000000000001,96.4638,41523.0,1.0,6.0,1.0
ENDOTHIAPEPSIN,ps2,0.26399999999999996,2827.6,0.6266,0.9423999999999999,0.6898,96.0326,41523.0,8.0,8.0,1.0
ENDOTHIAPEPSIN,tynorphin,0.30219999999999997,1728.4,0.6656000000000001,0.9456,0.7216,96.6584,41523.0,3.0,5.0,0.0
GAG_PRO_POL_POLYPROTEIN,gag_pro_pol_polyprotein_inhibitor,0.189,590.4,0.35,0.7622,0.4324,80.1568,3259.0,3.0,7.0,1.0
METALLOPROTEINASE,ekw,0.2726,624.0,0.5731999999999999,0.9468,0.6477999999999999,96.2512,27054.0,1.0,3.0,1.0
METALLOPROTEINASE,enw,0.2754,624.6,0.5902,0.9471999999999999,0.6614,96.3306,27054.0,1.0,3.0,1.0
METALLOPROTEINASE,eqw,0.2752,629.0,0.5826,0.9468,0.6552,96.2938,27054.0,1.0,3.0,1.0
METALLOPROTEINASE,h_256,0.38079999999999997,1849.6,0.704,0.9427999999999999,0.752,95.7836,27054.0,1.0,7.0,0.0
NEUTROPHIL_COLLAGENASE,neutrophil_collagenase_inhibitor,0.3126,533.2,0.5794,0.9350000000000002,0.6504,96.03099999999999,29550.0,1.0,3.0,1.0
NEUTROPHIL_COLLAGENASE,pep2,0.3014,1450.4,0.5484,0.9222000000000001,0.6234,93.4376,29550.0,1.0,8.0,0.0
NS3_4A_PROTEASE,eqw,0.08380000000000001,254.4,0.3936,0.9099999999999999,0.4968,93.7852,21034.0,1.0,3.0,0.0
NS3_PROTEASE,pep3,0.38580000000000003,2024.0,0.7083999999999999,0.8766,0.742,89.3528,20412.0,1.0,8.0,0.0
PLASMEPSIN_2,aspartic_peptidase_inhibitor_6,0.3796,3448.4,0.7376,0.909,0.772,91.0672,45489.0,2.0,8.0,1.0
PLASMEPSIN_2,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.2104,2375.0,0.5660000000000001,0.9032,0.6332,89.54220000000001,45489.0,2.0,8.0,0.0
PROTEINASE_K,3c_like_proteinase_inhibitor,0.4284,1880.2,0.7988,0.9650000000000001,0.8318,98.24359999999999,79377.0,1.0,5.0,0.0
RENIN,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.179,2334.2,0.5354,0.9124000000000001,0.611,89.86240000000001,51256.0,2.0,8.0,0.0
RHOMBOID_PROTEASE_GIPG,eqw,0.4114,783.4,0.7978,0.8379999999999999,0.8056000000000001,88.1038,21885.0,1.0,3.0,0.0
RHOMBOID_PROTEASE_GIPG,peptide_ketoamide_inhibitor,0.6092,2002.2,0.9002000000000001,0.8402,0.8882,88.07419999999999,21885.0,1.0,6.0,1.0
SERINE_PROTEASE_NS3,3c_like_proteinase_inhibitor,0.319,1195.6,0.6274,0.9120000000000001,0.6843999999999999,93.52539999999999,20917.0,1.0,5.0,0.0
SHEWANELLA_ONEIDENSIS_PEPTIDASE,pep2,0.26880000000000004,915.6,0.40800000000000003,0.8116,0.489,85.5242,615.0,1.0,8.0,0.0
SHEWANELLA_ONEIDENSIS_PEPTIDASE,shewanella_odeidensis_peptidase_inhibitor,0.5434,1692.6,0.7512000000000001,0.8394,0.7689999999999999,90.7094,615.0,4.0,9.0,1.0
SUBTILISIN_BPN,h77,0.2862,2286.8,0.606,0.9512,0.6752,95.8476,140217.0,8.0,8.0,0.0
SUBTILISIN_BPN,subtilisin_bpn_tetrapeptide_inhibitor,0.4582,1487.2,0.7968,0.9597999999999999,0.8294,97.63640000000001,140217.0,1.0,4.0,1.0
SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,neutrophil_collagenase_inhibitor,0.313,759.2,0.649,0.9544,0.7102,97.6498,154205.0,1.0,3.0,0.0
SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,peptide_cglr,0.43900000000000006,1412.8,0.8321999999999999,0.9565999999999999,0.8572,98.064,154205.0,2.0,4.0,1.0
THERMOLYSIN,amyloid_beta_a4_protein_2,0.501,2408.2,0.8624,0.9638,0.8824,98.3478,29160.0,1.0,5.0,1.0
TRYPSIN,3c_like_proteinase_inhibitor,0.5955999999999999,2004.6,0.8858,0.9545999999999999,0.8996000000000001,98.13759999999999,153562.0,1.0,5.0,0.0
TRYPSIN,3mer_peptide,0.6134000000000001,1266.2,0.9478,0.9558,0.9494,98.36,153562.0,3.0,3.0,1.0
TRYPSIN,9mer_peptide,0.778,4013.8,0.9613999999999999,0.9571999999999999,0.9603999999999999,98.3368,153562.0,101.0,9.0,1.0
TRYPSIN,amyloid_beta_a4_protein_2,0.32080000000000003,1196.0,0.6038,0.9465999999999999,0.6726000000000001,96.292,153562.0,1.0,5.0,0.0
TRYPSIN,cp_113972,0.3574,1253.0,0.6622,0.9484,0.7194,96.92240000000001,153562.0,1.0,5.0,0.0
TRYPSIN,trypsin_inhibitor_2,0.5731999999999999,1607.6,0.9022,0.9548,0.9128000000000001,98.2094,153562.0,1.0,4.0,1.0
TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,ps1,0.307,1545.6,0.6266,0.942,0.6896,94.4422,143607.0,1.0,6.0,0.0
UBIQUITIN_CARBOXYL_TERMINAL_HYDROLASE_7,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.6854,2018.8,0.9019999999999999,0.9168000000000001,0.905,95.66720000000001,9582.0,2.0,8.0,1.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,angiotensin_2,0.2374,1955.2,0.5314,0.9292,0.611,93.3212,142884.0,15.0,8.0,0.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,prelamin_a_c,0.3238,1050.2,0.6564,0.9372,0.7125999999999999,95.149,142884.0,1.0,4.0,0.0
