Protein 1,Protein 2,LIS,Protein 1,Protein 2,Binary_Label
ENDOTHIAPEPSIN,h77,0.398,ENDOTHIAPEPSIN,h77,1.0
ENDOTHIAPEPSIN,h_256,0.241,ENDOTHIAPEPSIN,h_256,1.0
ENDOTHIAPEPSIN,pep2,0.24,ENDOTHIAPEPSIN,pep2,0.0
ENDOTHIAPEPSIN,ps1,0.466,ENDOTHIAPEPSIN,ps1,1.0
ENDOTHIAPEPSIN,ps2,0.345,ENDOTHIAPEPSIN,ps2,1.0
ENDOTHIAPEPSIN,tynorphin,0.355,ENDOTHIAPEPSIN,tynorphin,0.0
GAG_PRO_POL_POLYPROTEIN,gag_pro_pol_polyprotein_inhibitor,0.439,GAG_PRO_POL_POLYPROTEIN,gag_pro_pol_polyprotein_inhibitor,1.0
METALLOPROTEINASE,ekw,0.303,METALLOPROTEINASE,ekw,1.0
METALLOPROTEINASE,enw,0.315,METALLOPROTEINASE,enw,1.0
METALLOPROTEINASE,eqw,0.308,METALLOPROTEINASE,eqw,1.0
METALLOPROTEINASE,h_256,0.512,METALLOPROTEINASE,h_256,0.0
NEUTROPHIL_COLLAGENASE,neutrophil_collagenase_inhibitor,0.417,NEUTROPHIL_COLLAGENASE,neutrophil_collagenase_inhibitor,1.0
NEUTROPHIL_COLLAGENASE,pep2,0.329,NEUTROPHIL_COLLAGENASE,pep2,0.0
NS3_4A_PROTEASE,eqw,0.258,NS3_4A_PROTEASE,eqw,0.0
NS3_PROTEASE,pep3,0.495,NS3_PROTEASE,pep3,0.0
PLASMEPSIN_2,aspartic_peptidase_inhibitor_6,0.578,PLASMEPSIN_2,aspartic_peptidase_inhibitor_6,1.0
PLASMEPSIN_2,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.216,PLASMEPSIN_2,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.0
PROTEINASE_K,3c_like_proteinase_inhibitor,0.479,PROTEINASE_K,3c_like_proteinase_inhibitor,0.0
RENIN,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.206,RENIN,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.0
RHOMBOID_PROTEASE_GIPG,eqw,0.533,RHOMBOID_PROTEASE_GIPG,eqw,0.0
RHOMBOID_PROTEASE_GIPG,peptide_ketoamide_inhibitor,0.645,RHOMBOID_PROTEASE_GIPG,peptide_ketoamide_inhibitor,1.0
SERINE_PROTEASE_NS3,3c_like_proteinase_inhibitor,0.438,SERINE_PROTEASE_NS3,3c_like_proteinase_inhibitor,0.0
SHEWANELLA_ONEIDENSIS_PEPTIDASE,pep2,0.396,SHEWANELLA_ONEIDENSIS_PEPTIDASE,pep2,0.0
SHEWANELLA_ONEIDENSIS_PEPTIDASE,shewanella_odeidensis_peptidase_inhibitor,0.69,SHEWANELLA_ONEIDENSIS_PEPTIDASE,shewanella_odeidensis_peptidase_inhibitor,1.0
SUBTILISIN_BPN,h77,0.364,SUBTILISIN_BPN,h77,0.0
SUBTILISIN_BPN,subtilisin_bpn_tetrapeptide_inhibitor,0.624,SUBTILISIN_BPN,subtilisin_bpn_tetrapeptide_inhibitor,1.0
SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,neutrophil_collagenase_inhibitor,0.36,SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,neutrophil_collagenase_inhibitor,0.0
SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,peptide_cglr,0.565,SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,peptide_cglr,1.0
THERMOLYSIN,amyloid_beta_a4_protein_2,0.593,THERMOLYSIN,amyloid_beta_a4_protein_2,1.0
TRYPSIN,3c_like_proteinase_inhibitor,0.689,TRYPSIN,3c_like_proteinase_inhibitor,0.0
TRYPSIN,3mer_peptide,0.651,TRYPSIN,3mer_peptide,1.0
TRYPSIN,9mer_peptide,0.792,TRYPSIN,9mer_peptide,1.0
TRYPSIN,amyloid_beta_a4_protein_2,0.347,TRYPSIN,amyloid_beta_a4_protein_2,0.0
TRYPSIN,cp_113972,0.411,TRYPSIN,cp_113972,0.0
TRYPSIN,trypsin_inhibitor_2,0.603,TRYPSIN,trypsin_inhibitor_2,1.0
TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,ps1,0.317,TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,ps1,0.0
UBIQUITIN_CARBOXYL_TERMINAL_HYDROLASE_7,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.695,UBIQUITIN_CARBOXYL_TERMINAL_HYDROLASE_7,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,1.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,angiotensin_2,0.253,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,angiotensin_2,0.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,prelamin_a_c,0.346,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,prelamin_a_c,0.0
