Protein 1,Protein 2,ipTM,Protein 1,Protein 2,Binary_Label
SHEWANELLA_ONEIDENSIS_PEPTIDASE,shewanella_odeidensis_peptidase_inhibitor,0.875,SHEWANELLA_ONEIDENSIS_PEPTIDASE,shewanella_odeidensis_peptidase_inhibitor,1.0
SUBTILISIN_BPN,h77,0.725,SUBTILISIN_BPN,h77,0.0
SUBTILISIN_BPN,subtilisin_bpn_tetrapeptide_inhibitor,0.932,SUBTILISIN_BPN,subtilisin_bpn_tetrapeptide_inhibitor,1.0
SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,neutrophil_collagenase_inhibitor,0.711,SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,neutrophil_collagenase_inhibitor,0.0
SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,peptide_cglr,0.945,SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,peptide_cglr,1.0
THERMOLYSIN,amyloid_beta_a4_protein_2,0.929,THERMOLYSIN,amyloid_beta_a4_protein_2,1.0
TRYPSIN,3c_like_proteinase_inhibitor,0.933,TRYPSIN,3c_like_proteinase_inhibitor,0.0
TRYPSIN,3mer_peptide,0.962,TRYPSIN,3mer_peptide,1.0
TRYPSIN,9mer_peptide,0.963,TRYPSIN,9mer_peptide,1.0
TRYPSIN,amyloid_beta_a4_protein_2,0.621,TRYPSIN,amyloid_beta_a4_protein_2,0.0
TRYPSIN,cp_113972,0.762,TRYPSIN,cp_113972,0.0
TRYPSIN,trypsin_inhibitor_2,0.921,TRYPSIN,trypsin_inhibitor_2,1.0
TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,ps1,0.644,TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,ps1,0.0
UBIQUITIN_CARBOXYL_TERMINAL_HYDROLASE_7,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.928,UBIQUITIN_CARBOXYL_TERMINAL_HYDROLASE_7,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,1.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,angiotensin_2,0.568,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,angiotensin_2,0.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,prelamin_a_c,0.679,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,prelamin_a_c,0.0
