Protein 1,Protein 2,ipTM,Protein 1,Protein 2,Binary_Label
SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,neutrophil_collagenase_inhibitor,0.711,SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,neutrophil_collagenase_inhibitor,0.0
SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,peptide_cglr,0.945,SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,peptide_cglr,1.0
THERMOLYSIN,amyloid_beta_a4_protein_2,0.929,THERMOLYSIN,amyloid_beta_a4_protein_2,1.0
THERMOLYSIN,pvi,0.686,THERMOLYSIN,pvi,0.0
THROMBIN,aspartic_peptidase_inhibitor_1,0.582,THROMBIN,aspartic_peptidase_inhibitor_1,0.0
THROMBIN,decapeptide_inhibitor,0.949,THROMBIN,decapeptide_inhibitor,1.0
TRYPSIN,3c_like_proteinase_inhibitor,0.933,TRYPSIN,3c_like_proteinase_inhibitor,0.0
TRYPSIN,3mer_peptide,0.962,TRYPSIN,3mer_peptide,1.0
TRYPSIN,9mer_peptide,0.963,TRYPSIN,9mer_peptide,1.0
TRYPSIN,amyloid_beta_a4_protein_2,0.621,TRYPSIN,amyloid_beta_a4_protein_2,0.0
TRYPSIN,cp_113972,0.762,TRYPSIN,cp_113972,0.0
TRYPSIN,pep4,0.67,TRYPSIN,pep4,0.0
TRYPSIN,trypsin_inhibitor_1,0.965,TRYPSIN,trypsin_inhibitor_1,1.0
TRYPSIN,trypsin_inhibitor_2,0.921,TRYPSIN,trypsin_inhibitor_2,1.0
TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,ps1,0.644,TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,ps1,0.0
TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,two_chain_tissue_plasminogen_activator_inhibitor,0.846,TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,two_chain_tissue_plasminogen_activator_inhibitor,1.0
UBIQUITIN_CARBOXYL_TERMINAL_HYDROLASE_7,beta_acrosin_light_chain,0.778,UBIQUITIN_CARBOXYL_TERMINAL_HYDROLASE_7,beta_acrosin_light_chain,0.0
UBIQUITIN_CARBOXYL_TERMINAL_HYDROLASE_7,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.928,UBIQUITIN_CARBOXYL_TERMINAL_HYDROLASE_7,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,1.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,angiotensin_2,0.568,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,angiotensin_2,0.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,bicyclic_peptide_inhibitor,0.919,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,bicyclic_peptide_inhibitor,1.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,mupain_1_17,0.84,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,mupain_1_17,1.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,pep6,0.526,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,pep6,0.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,prelamin_a_c,0.679,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,prelamin_a_c,0.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,upain_1_w3a,0.957,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,upain_1_w3a,1.0
