Protein 1,Protein 2,LIS,LIA,ipTM,pTM,AFM Confidence,pLDDT,Protein 1,Protein 2,Binary_Label
72_KDA_TYPE_IV_COLLAGENASE,pepstatin_a,0.05535612,135.7416664,0.09302419,0.003834058,0.074958655,1.061549669,72_KDA_TYPE_IV_COLLAGENASE,pepstatin_a,0
ALKALINE_PROTEASE,alkaline_protease_tetrapeptide_inhibitor,0.045789737,26.79178979,0.043170592,0.002302173,0.034146742,0.230412239,ALKALINE_PROTEASE,alkaline_protease_tetrapeptide_inhibitor,1
ALKALINE_PROTEASE,hirugen,0.031586389,702.1484886,0.04416673,0.002302173,0.036076308,0.212210273,ALKALINE_PROTEASE,hirugen,0
ALPHA_THROMBIN,hirugen,0.011388591,134.1398524,0.005674504,0.003391165,0.004969909,0.73520963,ALPHA_THROMBIN,hirugen,1
ALPHA_THROMBIN,thrombin_nonapeptide_inhibitor,0.167470893,1116.099144,0.165049084,0.004438468,0.132730931,0.780152357,ALPHA_THROMBIN,thrombin_nonapeptide_inhibitor,1
ALPHA_THROMBIN,tynorphin,0.057591666,291.6521901,0.075774006,0.003911521,0.060526854,0.918492896,ALPHA_THROMBIN,tynorphin,0
ALPHA_THROMBIN_2,ps2,0.025540164,67.35948337,0.045335417,0.002,0.036806249,0.507312823,ALPHA_THROMBIN_2,ps2,0
ANGIOTENSIN_CONVERTING_ENZYME,angiotensin_2,0.061063082,631.7489216,0.068376165,0.001949359,0.054825177,0.317678611,ANGIOTENSIN_CONVERTING_ENZYME,angiotensin_2,1
ANGIOTENSIN_CONVERTING_ENZYME,aspartic_peptidase_inhibitor_6,0.016456002,32.63893381,0.016318701,0.003082207,0.012581733,0.19593111,ANGIOTENSIN_CONVERTING_ENZYME,aspartic_peptidase_inhibitor_6,0
ANGIOTENSIN_CONVERTING_ENZYME_2,bradykinin_potentiating_peptide_b,0.032346561,437.5126284,0.031136795,0.015336232,0.025890153,0.835167827,ANGIOTENSIN_CONVERTING_ENZYME_2,bradykinin_potentiating_peptide_b,1
ANGIOTENSIN_CONVERTING_ENZYME_2,upain_1_w3a,0.016364596,59.81053419,0.017285832,0.020117157,0.014764823,0.841084003,ANGIOTENSIN_CONVERTING_ENZYME_2,upain_1_w3a,0
BACE,aspartic_peptidase_inhibitor_4,0.015469324,276.0422069,0.02687564,0.001516575,0.02164024,0.498852984,BACE,aspartic_peptidase_inhibitor_4,1
BACE,aspartic_peptidase_inhibitor_5,0.066887966,893.1252432,0.049692052,0.002701851,0.0399975,0.334789785,BACE,aspartic_peptidase_inhibitor_5,1
BACE,bicyclic_peptide_inhibitor,0.022322634,679.4714858,0.019178113,0.00250998,0.015700318,0.336134646,BACE,bicyclic_peptide_inhibitor,0
BACE,pvi,0.045703392,1036.934762,0.046697966,0.000707107,0.037218275,0.468485112,BACE,pvi,0
BETA_ACROSIN_HEAVY_CHAIN,beta_acrosin_light_chain,0.018780309,157.595368,0.011467345,0.001414214,0.00920326,0.590828063,BETA_ACROSIN_HEAVY_CHAIN,beta_acrosin_light_chain,1
BETA_ACROSIN_HEAVY_CHAIN,ps1,0.026061466,32.75667871,0.025715754,0.004494441,0.020731618,0.370454856,BETA_ACROSIN_HEAVY_CHAIN,ps1,0
BONT_A,jth_nb72_39_inhibitior,0.020166804,154.0314903,0.031004838,0.001140175,0.024657656,0.10430628,BONT_A,jth_nb72_39_inhibitior,1
BONT_A,pep6,0.066773498,1703.777362,0.044252684,0.00167332,0.035571056,0.268376042,BONT_A,pep6,0
BOTULINUM_NEUROTOXIN_TYPE_A,pep6,0.019230185,257.1478174,0.063618394,0.003847077,0.050845845,0.281618004,BOTULINUM_NEUROTOXIN_TYPE_A,pep6,0
BOTULINUM_NEUROTOXIN_TYPE_A,synaptotagmin_2,0.148827753,5169.565194,0.162967175,0.004868265,0.129779814,1.014967635,BOTULINUM_NEUROTOXIN_TYPE_A,synaptotagmin_2,1
CAAX_PRENYL_PROTEASE_1_HOMOLOG,3c_like_proteinase_inhibitor,0.08664987,280.7614646,0.05811024,0.006041523,0.047583611,0.403827067,CAAX_PRENYL_PROTEASE_1_HOMOLOG,3c_like_proteinase_inhibitor,0
CAAX_PRENYL_PROTEASE_1_HOMOLOG,prelamin_a_c,0.07730912,611.1290371,0.08493939,0.006041523,0.068585713,0.359128389,CAAX_PRENYL_PROTEASE_1_HOMOLOG,prelamin_a_c,1
CALCIUM_DEPENDENT_PROTEASE,aspartic_peptidase_inhibitor_1,0.011819475,230.9313751,0.043891913,0.009813256,0.035863631,1.04238798,CALCIUM_DEPENDENT_PROTEASE,aspartic_peptidase_inhibitor_1,0
CALCIUM_DEPENDENT_PROTEASE,calpastatin,0.195147893,734.3260856,0.185608998,0.011256109,0.150616068,2.293545618,CALCIUM_DEPENDENT_PROTEASE,calpastatin,1
CANDIDAPEPSIN_3,pepstatin_a,0.029555033,202.9709339,0.024035391,0.000894427,0.019112823,0.212712247,CANDIDAPEPSIN_3,pepstatin_a,1
CANDIDAPEPSIN_3,synaptotagmin_2,0.037036469,514.8674587,0.031848077,0.002774887,0.026185874,0.351240231,CANDIDAPEPSIN_3,synaptotagmin_2,0
CHYMOSIN,cp_113972,0.056211209,283.5872,0.078811801,0.003646917,0.063747157,0.57213224,CHYMOSIN,cp_113972,1
CHYMOSIN,pep2,0.074724159,463.0586356,0.101790471,0.00427785,0.08215108,0.772136775,CHYMOSIN,pep2,0
COAGULATION_FACTOR_XI,coagulation_factor_xi_inhibitor,0.059306829,1282.535653,0.051626544,0.003605551,0.042133122,0.200185414,COAGULATION_FACTOR_XI,coagulation_factor_xi_inhibitor,1
COAGULATION_FACTOR_XI,pepstatin_a,0.094094633,348.4611887,0.103555299,0.001788854,0.082935517,0.638232481,COAGULATION_FACTOR_XI,pepstatin_a,0
DIPEPTIDYL_PEPTIDASE_3,decapeptide_inhibitor,0.029827839,410.0148778,0.026235472,0.053848863,0.029685013,0.74516676,DIPEPTIDYL_PEPTIDASE_3,decapeptide_inhibitor,0
DIPEPTIDYL_PEPTIDASE_3,tynorphin,0.075889393,973.4598091,0.060557411,0.054261404,0.057739068,0.970054277,DIPEPTIDYL_PEPTIDASE_3,tynorphin,1
ELASTASE,3c_like_proteinase_inhibitor,0.06659054,94.07603308,0.087528281,0.00254951,0.070452111,0.318681189,ELASTASE,3c_like_proteinase_inhibitor,0
ELASTASE,inhibitor_fr901451,0.0125499,80.40708924,0.012409674,0.002345208,0.010521407,0.148284524,ELASTASE,inhibitor_fr901451,1
ENDOTHIAPEPSIN,3mer_peptide,0.050136813,41.03047648,0.072213572,0.001788854,0.058100775,0.183962768,ENDOTHIAPEPSIN,3mer_peptide,0
ENDOTHIAPEPSIN,eqw,0.059039817,7.893034904,0.078501592,0.001643168,0.06312052,0.103558196,ENDOTHIAPEPSIN,eqw,0
ENDOTHIAPEPSIN,h77,0.067722227,487.9059336,0.100248192,0.003082207,0.080985801,0.694382315,ENDOTHIAPEPSIN,h77,1
ENDOTHIAPEPSIN,h_256,0.021667949,16.59216683,0.01903418,0.00130384,0.015241391,0.086955736,ENDOTHIAPEPSIN,h_256,1
ENDOTHIAPEPSIN,pep2,0.01669431,101.5701728,0.031360804,0.00148324,0.025440126,0.187777262,ENDOTHIAPEPSIN,pep2,0
ENDOTHIAPEPSIN,ps1,0.094232691,527.4879146,0.123926591,0.002774887,0.099798297,0.74136779,ENDOTHIAPEPSIN,ps1,1
ENDOTHIAPEPSIN,ps2,0.069451422,237.9018705,0.089290537,0.002880972,0.071956237,0.570843937,ENDOTHIAPEPSIN,ps2,1
ENDOTHIAPEPSIN,tynorphin,0.030914398,34.94710288,0.055184237,0.001516575,0.044077205,0.237815685,ENDOTHIAPEPSIN,tynorphin,0
GAG_PRO_POL_POLYPROTEIN,gag_pro_pol_polyprotein_inhibitor,0.147873257,266.3555894,0.175299743,0.017935997,0.143147826,2.526226375,GAG_PRO_POL_POLYPROTEIN,gag_pro_pol_polyprotein_inhibitor,1
GAG_PRO_POL_POLYPROTEIN,putative_lipoprotein,0.117835903,533.0640674,0.142003521,0.020255863,0.116727032,3.156171684,GAG_PRO_POL_POLYPROTEIN,putative_lipoprotein,0
HUMAN_ADENOVIRUS_D8_PROTEASE,pvi,0.007368853,7.516648189,0.00130384,0.001516575,0.001095445,0.338733966,HUMAN_ADENOVIRUS_D8_PROTEASE,pvi,1
HUMAN_ADENOVIRUS_D8_PROTEASE,upain_1_w3a,0.034896991,851.1234928,0.041294067,0.010756393,0.03422426,1.773796578,HUMAN_ADENOVIRUS_D8_PROTEASE,upain_1_w3a,0
KALLIKREIN_4,calpastatin,0.072569277,475.7702176,0.103618531,0.005069517,0.083625953,1.147140052,KALLIKREIN_4,calpastatin,0
KALLIKREIN_4,trypsin_inhibitor_1_kallikrein,0.005412947,51.7223356,0.004505552,0.000447214,0.003286335,0.066051495,KALLIKREIN_4,trypsin_inhibitor_1_kallikrein,1
METALLOPROTEINASE,ekw,0.030533588,7.38241153,0.030011664,0.001095445,0.024159884,0.138225179,METALLOPROTEINASE,ekw,1
METALLOPROTEINASE,enw,0.025754611,7.056911506,0.026061466,0.000447214,0.021102133,0.165052416,METALLOPROTEINASE,enw,1
METALLOPROTEINASE,eqw,0.029286516,8.366600265,0.032531523,0.001095445,0.026432934,0.150750456,METALLOPROTEINASE,eqw,1
METALLOPROTEINASE,h_256,0.087428256,313.9136824,0.091588755,0.004086563,0.074111403,0.390299628,METALLOPROTEINASE,h_256,0
METALLOPROTEINASE,trypsin_inhibitor_1_kallikrein,0.189786195,1381.22728,0.212151361,0.015303594,0.172545067,2.464387307,METALLOPROTEINASE,trypsin_inhibitor_1_kallikrein,0
METALLOPROTEINASE,upain_1_w3a,0.038572011,81.0450492,0.037956554,0.002588436,0.030833423,0.386589188,METALLOPROTEINASE,upain_1_w3a,0
MIROLYSIN,mupain_1_17,0.023794957,34.64823228,0.024149534,0.001140175,0.019346834,0.222812253,MIROLYSIN,mupain_1_17,0
MIROLYSIN,putative_lipoprotein,0.008348653,216.1360683,0.023265855,0.000707107,0.018622567,0.149739106,MIROLYSIN,putative_lipoprotein,1
NEUTROPHIL_COLLAGENASE,neutrophil_collagenase_inhibitor,0.061824752,32.94237393,0.092036949,0.002,0.074022294,0.312175431,NEUTROPHIL_COLLAGENASE,neutrophil_collagenase_inhibitor,1
NEUTROPHIL_COLLAGENASE,pep2,0.03441366,49.52070274,0.040333609,0.001923538,0.032562248,0.555877055,NEUTROPHIL_COLLAGENASE,pep2,0
NS3_4A_PROTEASE,eqw,0.104334558,294.5128181,0.113722469,0.005049752,0.091992935,0.516501404,NS3_4A_PROTEASE,eqw,0
NS3_4A_PROTEASE,product_trif,0.207678357,1355.881632,0.216526442,0.014219705,0.175778838,2.797244859,NS3_4A_PROTEASE,product_trif,1
NS3_PROTEASE,ns4a_peptide,0.003361547,11.51086443,0.001516575,0.001870829,0.001870829,0.076369497,NS3_PROTEASE,ns4a_peptide,1
NS3_PROTEASE,pep3,0.130536202,471.3936784,0.178274507,0.009555103,0.141832648,1.380066556,NS3_PROTEASE,pep3,0
PLASMA_KALLIKREIN_LIGHT_CHAIN,plasma_kallikrein_light_chain_inhibitor,0.051335173,72.89924554,0.016920402,0.002073644,0.01356466,0.168193936,PLASMA_KALLIKREIN_LIGHT_CHAIN,plasma_kallikrein_light_chain_inhibitor,1
PLASMA_KALLIKREIN_LIGHT_CHAIN,synaptotagmin_2,0.114563083,1386.076008,0.131788846,0.011840608,0.107551383,1.419089321,PLASMA_KALLIKREIN_LIGHT_CHAIN,synaptotagmin_2,0
PLASMEPSIN_2,aspartic_peptidase_inhibitor_6,0.176609173,1273.495308,0.164045116,0.006204837,0.132585821,1.304482924,PLASMEPSIN_2,aspartic_peptidase_inhibitor_6,1
PLASMEPSIN_2,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.006503845,49,0.009082951,0.002280351,0.007362065,0.467837258,PLASMEPSIN_2,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0
PROTEINASE_K,3c_like_proteinase_inhibitor,0.041782772,324.6562798,0.059440727,0.001,0.047567846,0.167018861,PROTEINASE_K,3c_like_proteinase_inhibitor,0
PROTEINASE_K,lactoferrin,0.072682873,419.8841507,0.083646279,0.003435113,0.067891826,0.657853935,PROTEINASE_K,lactoferrin,1
RENIN,aspartic_peptidase_inhibitor_1,0.019882153,227.7129772,0.028041041,0.00250998,0.02270022,0.23098658,RENIN,aspartic_peptidase_inhibitor_1,1
RENIN,aspartic_peptidase_inhibitor_2,0.020549939,59.77290356,0.021236761,0.002949576,0.017601136,0.395852624,RENIN,aspartic_peptidase_inhibitor_2,1
RENIN,aspartic_peptidase_inhibitor_3,0.006760178,298.5702597,0.029149614,0.002167948,0.023488295,0.157536345,RENIN,aspartic_peptidase_inhibitor_3,1
RENIN,bradykinin_potentiating_peptide_b,0.010059821,135.1713727,0.017572706,0.001516575,0.014046352,0.141941185,RENIN,bradykinin_potentiating_peptide_b,0
RENIN,hirugen,0.047388817,857.2325822,0.046016301,0.003781534,0.037138928,0.261893681,RENIN,hirugen,0
RENIN,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.02634388,153.026795,0.025195238,0.001949359,0.020506097,0.073988513,RENIN,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0
RHOMBOID_PROTEASE_GIPG,amyloid_beta_a4_protein,0.049132474,198.5396686,0.077849213,0.00432435,0.062978568,1.271182796,RHOMBOID_PROTEASE_GIPG,amyloid_beta_a4_protein,0
RHOMBOID_PROTEASE_GIPG,eqw,0.076218764,159.2177754,0.076724833,0.00324037,0.061808575,0.536127503,RHOMBOID_PROTEASE_GIPG,eqw,0
RHOMBOID_PROTEASE_GIPG,peptide_boronate_inhibitor,0.038623827,54.08789144,0.025508822,0.002863564,0.020535335,0.512935376,RHOMBOID_PROTEASE_GIPG,peptide_boronate_inhibitor,1
RHOMBOID_PROTEASE_GIPG,peptide_ketoamide_inhibitor,0.021856349,33.06357512,0.00801249,0.003834058,0.007085196,0.800187291,RHOMBOID_PROTEASE_GIPG,peptide_ketoamide_inhibitor,1
SERINE_PROTEASE_NS3,3c_like_proteinase_inhibitor,0.084726029,296.1955435,0.120763405,0.003807887,0.097158633,0.775707935,SERINE_PROTEASE_NS3,3c_like_proteinase_inhibitor,0
SERINE_PROTEASE_NS3,cp5_46_a_peptide,0.030392433,237.0875366,0.022117866,0.00303315,0.018130085,0.419720979,SERINE_PROTEASE_NS3,cp5_46_a_peptide,1
SHEWANELLA_ONEIDENSIS_PEPTIDASE,pep2,0.071990972,188.9253821,0.089780287,0.007231874,0.073331439,1.280448437,SHEWANELLA_ONEIDENSIS_PEPTIDASE,pep2,0
SHEWANELLA_ONEIDENSIS_PEPTIDASE,shewanella_odeidensis_peptidase_inhibitor,0.148671786,211.7765332,0.134354754,0.020119642,0.111388958,2.405999231,SHEWANELLA_ONEIDENSIS_PEPTIDASE,shewanella_odeidensis_peptidase_inhibitor,1
ST14_PROTEIN,pvi,0.047977078,664.7907189,0.073723809,0.002607681,0.059458389,0.506866156,ST14_PROTEIN,pvi,0
ST14_PROTEIN,trypsin_inhibitor_1,0.010473777,60.54502457,0.002607681,0.000447214,0.00181659,0.021824298,ST14_PROTEIN,trypsin_inhibitor_1,1
SUBTILISIN_BPN,h77,0.045383918,204.625756,0.06801838,0.00248998,0.054806022,0.858542544,SUBTILISIN_BPN,h77,0
SUBTILISIN_BPN,subtilisin_bpn_tetrapeptide_inhibitor,0.121842932,459.6751027,0.11387581,0.00248998,0.091445612,0.47797207,SUBTILISIN_BPN,subtilisin_bpn_tetrapeptide_inhibitor,1
SUBTILISIN_LIKE_PROTEASE,bradykinin_potentiating_peptide_b,0.013240091,261.189012,0.015817712,0.00181659,0.012911235,0.291029552,SUBTILISIN_LIKE_PROTEASE,bradykinin_potentiating_peptide_b,0
SUBTILISIN_LIKE_PROTEASE,substrate_analogue,0.034136491,156.8374955,0.033455941,0.001140175,0.027042559,0.380991207,SUBTILISIN_LIKE_PROTEASE,substrate_analogue,1
SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,neutrophil_collagenase_inhibitor,0.036138622,18.80691362,0.046254729,0.00181659,0.037164499,0.141521023,SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,neutrophil_collagenase_inhibitor,0
SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,peptide_cglr,0.157824269,450.5848422,0.143229536,0.003577709,0.115185503,0.527700673,SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,peptide_cglr,1
THERMOLYSIN,amyloid_beta_a4_protein_2,0.103361018,436.5972973,0.091824833,0.002167948,0.073799051,0.392830371,THERMOLYSIN,amyloid_beta_a4_protein_2,1
THERMOLYSIN,pvi,0.032942374,358.0520912,0.033268604,0.001140175,0.026726391,0.382966317,THERMOLYSIN,pvi,0
THROMBIN,aspartic_peptidase_inhibitor_1,0.018063776,143.6168514,0.023338809,0.002683282,0.019253571,0.591982517,THROMBIN,aspartic_peptidase_inhibitor_1,0
THROMBIN,decapeptide_inhibitor,0.011903781,91.69133002,0.003646917,0.002966479,0.003391165,0.616067935,THROMBIN,decapeptide_inhibitor,1
TRYPSIN,3c_like_proteinase_inhibitor,0.056398582,48.92136548,0.030962881,0.002408319,0.025165453,0.181469832,TRYPSIN,3c_like_proteinase_inhibitor,0
TRYPSIN,3mer_peptide,0.027736258,48.28767959,0.013645512,0.00130384,0.011349009,0.118688668,TRYPSIN,3mer_peptide,1
TRYPSIN,9mer_peptide,0.008573214,0.447213595,0.001140175,0.00083666,0.001140175,0.107038311,TRYPSIN,9mer_peptide,1
TRYPSIN,amyloid_beta_a4_protein_2,0.017512852,15.92168333,0.017108477,0.002073644,0.013831124,0.172725215,TRYPSIN,amyloid_beta_a4_protein_2,0
TRYPSIN,cp_113972,0.039853482,111.96428,0.068067613,0.002880972,0.054975449,0.464014332,TRYPSIN,cp_113972,0
TRYPSIN,pep4,0.033246052,234.3143188,0.0479604,0.003082207,0.039240285,0.47144427,TRYPSIN,pep4,0
TRYPSIN,trypsin_inhibitor_1,0.004393177,21.71865558,0.001140175,0.000547723,0.001140175,0.068272981,TRYPSIN,trypsin_inhibitor_1,1
TRYPSIN,trypsin_inhibitor_2,0.036751871,15.5980768,0.022698018,0.001923538,0.01907092,0.158927027,TRYPSIN,trypsin_inhibitor_2,1
TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,ps1,0.006204837,9.28977933,0.016118313,0.001414214,0.013164346,0.067655007,TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,ps1,0
TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,two_chain_tissue_plasminogen_activator_inhibitor,0.019849433,74.02161846,0.018132843,0.002167948,0.01479189,0.163132462,TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,two_chain_tissue_plasminogen_activator_inhibitor,1
UBIQUITIN_CARBOXYL_TERMINAL_HYDROLASE_7,beta_acrosin_light_chain,0.077656294,513.0862501,0.124122117,0.010502381,0.101243271,1.418998238,UBIQUITIN_CARBOXYL_TERMINAL_HYDROLASE_7,beta_acrosin_light_chain,0
UBIQUITIN_CARBOXYL_TERMINAL_HYDROLASE_7,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.00746994,89.50810019,0.025308101,0.002167948,0.020481699,0.265093757,UBIQUITIN_CARBOXYL_TERMINAL_HYDROLASE_7,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,1
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,angiotensin_2,0.009864076,116.6006003,0.022667157,0.00083666,0.017972201,0.095609623,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,angiotensin_2,0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,bicyclic_peptide_inhibitor,0.281714039,2252.312412,0.252385221,0.017501429,0.205488929,2.82272519,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,bicyclic_peptide_inhibitor,1
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,mupain_1_17,0.129686931,1123.811372,0.154617269,0.006300794,0.125058786,1.21808526,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,mupain_1_17,1
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,pep6,0.01286468,82.61839989,0.01456022,0.001581139,0.011631853,0.10696261,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,pep6,0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,prelamin_a_c,0.020523158,2.949576241,0.026604511,0.001643168,0.021501163,0.158650559,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,prelamin_a_c,0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,upain_1_w3a,0.014923136,2.683281573,0.003768289,0.001224745,0.002701851,0.101852835,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,upain_1_w3a,1
