Protein 1,Protein 2,LIS,LIA,ipTM,pTM,AFM Confidence,pLDDT,MSA_depth_peptidase,MSA_depth_inhibitors,Binary_Label
CP_1,potato_cathepsin_d_inhibitor,0.0338,349.8,0.1784,0.5965999999999999,0.262,87.7708,49718.0,3241.0,0.0
CP_2,amoebiasin_2,0.688,47085.6,0.9179999999999999,0.9358000000000001,0.9214,97.554,49434.0,2999.0,1.0
CP_2,pancreatic_trypsin_inhibitor,0.269,9481.8,0.44820000000000004,0.8443999999999999,0.5272,91.837,49434.0,27511.0,0.0
ELASTASE,cmpi-ii,0.6542,20729.0,0.8642,0.8956,0.8705999999999999,91.2136,92687.0,14284.0,1.0
ELASTASE,falstatin,0.2448,46815.2,0.7178,0.588,0.6918,68.11179999999999,92687.0,1761.0,0.0
ELASTASE,potato_cathepsin_d_inhibitor,0.0898,16758.8,0.35,0.6574,0.4112,85.7924,92687.0,3241.0,0.0
ELASTASE,serine_protease_inhibitor_1,0.1078,6081.6,0.3004,0.6714,0.3746,85.257,92687.0,2583.0,1.0
KALICREIN,amoebiasin_2,0.086,3429.6,0.2866,0.7302,0.3754,86.2558,105380.0,2999.0,0.0
KALICREIN,erwinia_chrysanthemi_inhibitor,0.0098,225.0,0.2008,0.7198,0.3046,85.013,105380.0,2137.0,0.0
KALICREIN,pancreatic_trypsin_inhibitor,0.6952,26281.0,0.9162000000000001,0.9339999999999999,0.9196,95.23479999999999,105380.0,27511.0,1.0
KALLIKREIN,taicotoxin,0.6592,27307.4,0.9094000000000001,0.9272,0.9132,94.4554,105380.0,30799.0,1.0
KEXIN,kexstatin-1,0.5673999999999999,99203.0,0.8942,0.9475999999999999,0.9052,96.3582,33063.0,5006.0,1.0
KEXIN,kininogen_inhibitor_unit_2,0.0398,1024.0,0.33740000000000003,0.522,0.3744,66.58720000000001,33063.0,6535.0,0.0
MMP_1,amoebiasin_2,0.1552,16671.0,0.48599999999999993,0.7764,0.5442,90.0404,35303.0,2999.0,0.0
MMP_1,timp_1,0.4502,73421.0,0.8482,0.7814,0.8347999999999999,90.256,35303.0,5535.0,1.0
MMP_3,cystatin_A,0.1302,3994.0,0.3742,0.4646,0.3922,80.7054,34670.0,4998.0,0.0
MMP_3,timp_1,0.5471999999999999,66640.0,0.892,0.6726,0.8482,87.1066,34670.0,5535.0,1.0
PAPAIN,aspin,0.0528,1684.8,0.2826,0.6314,0.3524,82.2644,47245.0,652.0,0.0
PAPAIN,chagasin,0.7128,45437.4,0.9218,0.9478,0.9269999999999999,97.5612,47245.0,3705.0,1.0
PAPAIN,cmpi-ii,0.13940000000000002,3702.0,0.28759999999999997,0.8294,0.396,87.9742,47245.0,14284.0,0.0
PAPAIN,cystatin_A,0.709,39600.8,0.9264000000000001,0.9512,0.9314,96.92960000000001,47245.0,4998.0,1.0
PAPAIN,cystatin_B,0.7333999999999999,41238.0,0.9316000000000001,0.9558,0.9364000000000001,98.2258,47245.0,4936.0,1.0
PAPAIN,equistatin,0.6154,26865.0,0.8766,0.6832,0.8382,85.3322,47245.0,17916.0,1.0
PAPAIN,falstatin,0.65,61876.4,0.9399999999999998,0.676,0.8870000000000001,72.4282,47245.0,1761.0,1.0
PAPAIN,serralysin_inh,0.0534,2205.6,0.24359999999999998,0.7298,0.341,84.4882,47245.0,1402.0,0.0
PAPAIN,taicotoxin,0.11739999999999999,4606.8,0.288,0.8034000000000001,0.3908,89.4654,47245.0,30799.0,0.0
PAPAIN,tci1,0.1908,7006.8,0.3964,0.7932,0.4756,84.7982,47245.0,270.0,0.0
PEPSIN,amoebiasin_2,0.009999999999999998,257.0,0.2104,0.7582,0.32,85.4858,41957.0,2999.0,0.0
PEPSIN,aspin,0.4088,70651.6,0.7041999999999999,0.867,0.737,89.0134,41957.0,652.0,1.0
PEPSIN,ecotin,0.0108,91.0,0.178,0.7001999999999999,0.2826,86.071,41957.0,4559.0,0.0
PEPSIN,sqapi,0.312,33527.6,0.659,0.8624,0.6998,90.1614,41957.0,1546.0,1.0
PROTEINASE_A,cmpi-ii,0.22200000000000003,17631.8,0.5498000000000001,0.883,0.6164,88.02340000000001,55236.0,17099.0,0.0
PROTEINASE_A,proteinase_inhibitor_ia3_peptide,0.7338,20688.6,0.9400000000000001,0.9494,0.9421999999999999,95.5558,55236.0,48.0,1.0
PROTHROMBIN,prothrombin_inhibitor,0.733,16813.2,0.9192,0.9471999999999999,0.9246000000000001,95.9238,143251.0,834.0,1.0
PROTHROMBIN,smpi,0.052000000000000005,1911.8,0.2808,0.7534,0.3752,90.1696,143251.0,1077.0,0.0
SACCHAROPEPSIN,cystatin_A,0.0684,11195.2,0.2898,0.7846,0.3886,87.298,40948.0,4998.0,0.0
SACCHAROPEPSIN,saccharopepsin_inh,0.6916,23518.4,0.9034000000000001,0.8942,0.9012,90.037,40948.0,42.0,1.0
SERRALYSIN,aspin,0.0,0.0,0.1524,0.7622,0.2742,84.518,78890.0,652.0,0.0
SERRALYSIN,erwinia_chrysanthemi_inhibitor,0.6506000000000001,92589.6,0.9494,0.9635999999999999,0.9522,97.5484,78890.0,2137.0,1.0
SERRALYSIN,ovomucoid_inhibitor_unit_3,0.0,0.0,0.21760000000000002,0.7464000000000001,0.3234,81.5648,78890.0,17835.0,0.0
SERRALYSIN,serralysin_inh,0.39180000000000004,61468.2,0.7524,0.9273999999999999,0.7874000000000001,93.1918,78890.0,1402.0,1.0
SPOIVFB,amoebiasin_2,0.0,0.0,0.1726,0.6338,0.265,76.92240000000001,18429.0,2999.0,0.0
SPOIVFB,bofa,0.023,693.6,0.246,0.656,0.3282,69.5702,18429.0,3070.0,1.0
SUBTILISIN_A,calpastatin,0.11259999999999999,4040.4,0.34500000000000003,0.3882,0.3538,40.430600000000005,127625.0,4550.0,0.0
SUBTILISIN_A,chagasin,0.13399999999999998,6723.2,0.32080000000000003,0.7778,0.4122,89.5096,127625.0,3705.0,0.0
SUBTILISIN_A,cmpi-ii,0.735,25630.2,0.925,0.96,0.9316000000000001,97.21459999999999,127625.0,14284.0,1.0
SUBTILISIN_A,protease_inhibitor_hpi,0.7054,35558.0,0.9278000000000001,0.9526,0.9324,97.3036,127625.0,3665.0,1.0
THERMOLYSIN,impi,0.5008,32585.8,0.7624000000000001,0.8038000000000001,0.7706,89.1988,27893.0,3225.0,1.0
THERMOLYSIN,protease_inhibitor_hpi,0.1262,3740.4,0.3106,0.8482,0.418,90.128,27893.0,3665.0,0.0
THERMOLYSIN,smpi,0.40820000000000006,37331.2,0.6378,0.8882,0.6876,94.2476,27893.0,1062.0,1.0
THERMOLYSIN,sqapi,0.1538,14655.4,0.4218,0.8408,0.5056,88.3966,27893.0,1546.0,0.0
THROMBIN,rhodniin,0.67,49730.4,0.908,0.9400000000000001,0.9144,94.72619999999999,107783.0,16117.0,1.0
THROMBIN,serralysin_inh,0.0,0.0,0.1764,0.7314,0.2874,82.6914,107783.0,1402.0,0.0
TRYPSIN,amoebiasin_2,0.133,4829.8,0.262,0.7348,0.3566,88.4328,116213.0,2999.0,0.0
TRYPSIN,calpastatin,0.1452,4489.8,0.45599999999999996,0.35839999999999994,0.4364,37.9984,116213.0,4550.0,0.0
TRYPSIN,cystatin_A,0.3396,27163.6,0.5980000000000001,0.8482,0.6479999999999999,91.87559999999999,116213.0,4998.0,0.0
TRYPSIN,kunitz_trypsin_inhibitor_4,0.6338,73880.8,0.8886,0.9212,0.8949999999999999,93.6072,116213.0,4858.0,1.0
TRYPSIN,latexin,0.0742,4103.0,0.2572,0.601,0.3264,90.3314,116213.0,2177.0,0.0
TRYPSIN,ovomucoid_inhibitor_unit_3,0.4654,27405.4,0.8364,0.7292,0.8148,85.1968,116213.0,17835.0,1.0
TRYPSIN,pancreatic_trypsin_inhibitor,0.7584,25173.4,0.9368000000000001,0.9576,0.9411999999999999,98.27000000000001,116213.0,27511.0,1.0
TRYPSIN,serine_protease_inhibitor_1,0.5744,62365.0,0.8808,0.9134,0.8872,94.87780000000001,116213.0,2583.0,1.0
TRYPSIN,serralysin_inh,0.1876,18127.4,0.4742,0.8114000000000001,0.5418000000000001,85.5568,116213.0,1402.0,0.0
TRYPSIN,smpi,0.184,11506.6,0.3414,0.765,0.4262,90.4742,116213.0,1062.0,0.0
TRYPSIN,sqapi,0.0888,3645.6,0.26080000000000003,0.7484,0.3584,84.155,116213.0,1546.0,0.0
TRYPSIN,taicotoxin,0.725,26140.0,0.9324,0.9512,0.9362,97.5682,116213.0,30799.0,1.0
TRYPSIN,trypsin_inhibitor,0.7336,13858.8,0.9244,0.9523999999999999,0.9298,96.999,116213.0,126.0,1.0
TRYPSIN,trypsin_inhibitor_2,0.7792,13258.8,0.9475999999999999,0.9613999999999999,0.9506,98.4268,116213.0,210.0,1.0
TRYPSIN_II_ANIONIC,ecotin,0.6115999999999999,61074.0,0.93,0.923,0.9284000000000001,96.9008,117039.0,4559.0,1.0
TRYPSIN_II_ANIONIC,potato_cathepsin_d_inhibitor,0.4728,63314.2,0.768,0.8554,0.7852,93.46079999999999,117039.0,3241.0,0.0
